transliteration,yiddish
kindele,קינדעלע
kinderbikhl,קינדערביכל
kindergortn,קינדערגאָרטן
kinig,קיניג
kinigin,קיניגין
kinigl,קיניגל
kinstler,קינסטלער
kinstlerin,קינסטלערין
kirzhner,קירזשנער
kirkh,קירך
kirkhe,קירכע
kishinever,קישינעווער
kishn,קישן
kishke,קישקע
klog,קלאָג
kloglid,קלאָגליד
kloger,קלאָגער
klavyatur,קלאַוויאַטור
klas,קלאַס
klasnkamf,קלאַסנקאַמף
klarnet,קלאַרנעט
klarnetist,קלאַרנעטיסט
kloyster,קלויסטער
kley,קליי
klimat,קלימאַט
klipe,קליפּה
klole,קללה
klezmer,קלעזמער
komets,קמץ
komets-alef,קמץ־אַלף
komets-alef,קמץ־אלף
knobl,קנאָבל
kanoes,קנאות
kni,קני
kneydl,קניידל
knish,קניש
knas,קנס
knekht,קנעכט
knekhl,קנעכל
knayper,קנײַפּער
ksilofon,קסילאָפֿאָן
kez,קעז
ketshop,קעטשאָפּ
kelner,קעלנער
kelnerin,קעלנערין
kelnershe,קעלנערשע
keml,קעמל
kemfer,קעמפֿער
kenig,קעניג
kenigin,קעניגין
kepl,קעפּל
ketsl,קעצל
ketsele,קעצעלע
kern,קערן
kerndl,קערנדל
kernitse,קערניצע
kerper,קערפּער
keshene,קעשענע
keshenever,קעשענעווער
kro,קראָ
krab,קראַב
kravat,קראַוואַט
krom,קראָם
kraft,קראַפֿט
krokodil,קראָקאָדיל
korbn,קרבן
kroyt,קרויט
kroyn,קרוין
kroynele,קרוינעלע
krupnik,קרופּניק
krig,קריג
kritik,קריטיק
kritiker,קריטיקער
krinitse,קריניצע
krist,קריסט
kripton,קריפּטאָן
krem,קרעם
kreml,קרעמל
kremer,קרעמער
krenitse,קרעניצע
krepl,קרעפּל
kreplfleysh,קרעפּלפֿלייש
krayd,קרײַד
krayz,קרײַז
kashe,קשיא
rob,ראָב
rabiner,ראַבינער
rog,ראָג
rogal,ראָגאַל
rod,ראָד
radzha,ראַדזשאַ
radyo,ראַדיאָ
rover,ראָווער
rozhinke,ראָזשינקע
rat,ראַט
rot,ראָט
rothoyz,ראָטהויז
role,ראָלע
roman,ראָמאַן
rats,ראַץ
ratsyonalizm,ראַציאָנאַליזם
raket,ראַקעט
rosheshone,ראָש־השנה
rishen,ראשון
reb,רב
rov,רבֿ
rebe,רבי
rebe-nisl,רבי־ניסל
rabeynu,רבינו
rebenyu,רביניו
rebistve,רביסטװע
rebetsin,רביצין
rabeynu,רבנו
rege,רגע
rov,רובֿ
rubl,רובל
roygez,רוגז
rugze,רוגזה
ruder,רודער
ruekh,רוח
rukhnies,רוחניות
royz,רויז
roytarmeyer,רויטאַרמייער
rumenish,רומעניש
rumener,רומענער
rus,רוס
ruslender,רוסלענדער
rukn,רוקן
rakhmones,רחמנות
riter,ריטער
rikhter,ריכטער
ring,רינג
rind,רינד
rindfleysh,רינדפֿלייש
rip,ריפּ
regirung,רעגירונג
reglament,רעגלאַמענט
regn,רעגן
regn-boygn,רעגן־בויגן
regn-mantl,רעגן־מאַנטל
regnboygn,רעגנבויגן
redaktor,רעדאַקטאָר
reder,רעדער
revolver,רעוואָלווער
revolutsye,רעוואָלוציע
retekh,רעטעך
retekhl,רעטעכל
rekht,רעכט
religye,רעליגיע
rendl,רענדל
restoran,רעסטאָראַן
reform,רעפֿאָרם
republik,רעפּובליק
repetitsye,רעפּעטיציע
repertuar,רעפּערטואַר
referendum,רעפֿערענדום
retsept,רעצעפּט
rekl,רעקל
resht,רעשט
refue,רפֿואה
roshe,רשע
rayz,רײַז
raykhkayt,רײַכקײַט
reb,ר׳
soyne,שׂונא
sotn,שׂטן
sine,שׂינאה
skhires,שׂכירות
seykhl,שׂכל
skhar,שׂכר
simkhe,שׂמחה
sine,שׂנאה
sreyfe,שׂרפֿה
srore,שׂררה
sho,שאָ
shod,שאָד
shotn,שאָטן
shokh,שאָך
shakhmat,שאַכמאַט
shokhfigur,שאָכפֿיגור
shal,שאַל
shalikl,שאַליקל
shande,שאַנדע
shos,שאָס
shof,שאָף
shakal,שאַקאַל
sharbn,שאַרבן
shayle,שאלה
sheyvet,שבֿט
shabes,שבת
sheyd,שד
shadkhn,שדכן
shvab,שוואַב
shvoger,שוואָגער
shvom,שוואָם
shvan,שוואַן
shvants,שוואַנץ
shvartser,שוואַרצער
shviger,שוויגער
shvits,שוויץ
shvitsbod,שוויצבאָד
shvebl,שוועבל
shvegerin,שוועגערין
shvedish,שוועדיש
shveml,שוועמל
shvester,שוועסטער
shvesterl,שוועסטערל
shver,שווער
shverd,שווערד
shoykhet,שוחט
shoyte,שוטה
shoys,שויס
shoyshpiler,שוישפּילער
shoyshpilerin,שוישפּילערין
shukh,שוך
shul,שול
shuld,שולד
shule,שולע
shuster,שוסטער
shup,שופּ
shoyfet,שופֿט
shoyfer,שופר
shoyfer,שופֿר
shoyresh,שורש
shokher,שחור
shakhres,שחרית
shtohl,שטאָהל
shtat,שטאַט
shtot,שטאָט
shtotgortn,שטאָטגאָרטן
shtol,שטאָל
shtapl,שטאַפּל
shtafet,שטאַפֿעט
shtokfish,שטאָקפֿיש
shtub,שטוב
shtudye,שטודיע
shtoyb,שטויב
shtoybzoyger,שטויבזויגער
shtoybmashin,שטויבמאַשין
shtul,שטול
shtup,שטופּ
shturem,שטורעם
shtus,שטות
shtuseray,שטותערײַ
shtibl,שטיבל
shtivl,שטיוול
shteyn,שטיין
shtik,שטיק
shtikl,שטיקל
shtikshtof,שטיקשטאָף
shtetl,שטעטל
shtekhl-khazer,שטעכל־חזיר
shtekhler,שטעכלער
shtekher,שטעכער
shtekl,שטעקל
shtekn,שטעקן
shtern,שטערן
shtrom,שטראָם
shtrudl,שטרודל
shtroy,שטרוי
shtrik,שטריק
shtrayml,שטרײַמל
shtshav,שטשאַוו
shidekh,שידוך
sheygets,שייגעץ
sheygetsl,שייגעצל
sheyd,שייד
sheytl,שייטל
shayekh,שייך
sheyn,שיין
sheynkeyt,שיינקייט
shiker,שיכּור
shild,שילד
shilderung,שילדערונג
shinke,שינקע
shif,שיף
shifl,שיפֿל
shifer,שיפֿער
shiferin,שיפֿערין
shikse,שיקסע
shir,שיר
shire,שירה
shirem,שירעם
shishke,שישקע
shkhine,שכינה
shokhn,שכן
shlakht,שלאַכט
shlakhtman,שלאַכטמאַן
shlakhtfeld,שלאַכטפֿעלד
shlang,שלאַנג
shlos,שלאָס
shloser,שלאָסער
shlof,שלאָף
shloflozikeyt,שלאָפֿלאָזיקייט
shloftsimer,שלאָפֿצימער
shlafkeyt,שלאַפֿקייט
shlofrok,שלאָפֿראָק
sholem,שלום
shaleshudes,שלוש־סעודות
shlyukhe,שליוכע
shliekh,שליח
shleykes,שלייקעס
shlimazl,שלימזל
shlimazlnitse,שלימזלניצע
shlimil,שלימיל
shlisl,שליסל
shlesl,שלעסל
shmate,שמאַטע
shmokh,שמאָך
shmalts,שמאַלץ
shmant,שמאַנט
shmok,שמאָק
shmorak,שמאָראַק
shmues,שמועס
shmuts,שמוץ
shmid,שמיד
shmidhamer,שמידהאַמער
shmeykhl,שמייכל
shmir,שמיר
shmirkez,שמירקעז
shmegege,שמעגעגע
shmek,שמעק
shmekl,שמעקל
shmekele,שמעקעלע
shmerts,שמערץ
shames,שמש
shames,שמשׂ
shameste,שמשׂטע
shnoz,שנאָז
shnaps,שנאַפּס
shnorer,שנאָרער
shnur,שנור
shney,שניי
shneymentsh,שניימענטש
shneyele,שנייעלע
shnips,שניפּס
shnirl,שנירל
shnek,שנעק
shnayder,שנײַדער
shnayderuk,שנײַדערוק
shnayderyung,שנײַדעריונג
shnayderke,שנײַדערקע
shnayderay,שנײַדערײַ
sho,שעה
sheptsh,שעפּטש
sheps,שעפּס
sher,שער
sherl,שערל
sherer,שערער
shererin,שערערין
shpalt,שפּאַלט
shpanyer,שפּאַניער
shpyon,שפּיאָן
shpyonazh,שפּיאָנאַזש
shpigl,שפּיגל
shpiz,שפּיז
shpitol,שפּיטאָל
shpil,שפּיל
shpiler,שפּילער
shpilke,שפּילקע
shpin,שפּין
shpinat,שפּינאַט
shpinveb,שפּינוועב
shpits,שפּיץ
shpek,שפּעק
shperl,שפּערל
shprakh,שפּראַך
shprakh-visnshaft,שפּראַך־וויסנשאַפֿט
shprakhgefil,שפּראַכגעפֿיל
shprikhvort,שפּריכוואָרט
shpringer,שפּרינגער
shprits,שפּריץ
shpayekhts,שפּײַעכץ
shpayekhts,שפייעכץ
shifles,שפֿלות
shekl,שקל
shklaf,שקלאַף
shroyf,שרויף
shrimp,שרימפּ
shrift,שריפֿט
shriftshteler,שריפֿטשטעלער
shrek,שרעק
shrayber,שרײַבער
shrayberin,שרײַבערין
shtadlen,שתּדלן
shtadlones,שתּדלנות
shtuhl,שתוהל
shayn,שײַן
tayve,תּאוה
teyve,תּבֿה
tvue,תּבֿואה
tom,תּהום
tokh,תּוך
tkhine,תּחינה
tokhes,תּחת
tokhes-leker,תּחת לעקער
tifle,תּיפֿלה
tikn,תּיקון
teyrets,תּירוץ
tishebov,תּישעה־באָבֿ
takhshet,תּכשיט
tel,תּל
tliye,תּליה
talyen,תּליון
talyen,תּלין
talmetoyre,תּלמוד־תּורה
talmed,תּלמיד
talmid-khokhem,תּלמיד־חכם
talmido,תּלמידה
tam,תּם
tamez,תּמוז
temimes,תּמימות
tane,תּנא
tnay,תּנאַי
tones,תּענית
tfile,תּפֿילה
tfiln,תּפֿילין
tfise,תּפֿיסה
tkufe,תּקופֿה
takone,תּקנה
targem,תּרגום
tshuve,תּשובֿה
tashlekh,תּשליך
tishebov,תּשעה־באָבֿ
tishre,תּשרי
tokhes,תחת
